Texas,Angelina County,Both,2004,28.46,25.47,31.59,21.68,19.2,24.44
Maryland,Anne Arundel County,Both,2004,22.41,20.92,24.09,17,15.66,18.56
Minnesota,Anoka County,Both,2004,24.72,22.79,26.62,19.05,17.26,20.94
North Carolina,Anson County,Both,2004,29.18,26.24,32.02,22.41,19.75,25.37
Nebraska,Antelope County,Both,2004,23.55,20.92,26.52,18.45,16.11,21.09
Michigan,Antrim County,Both,2004,25.87,23.09,28.86,19.54,17.13,22.2
Arizona,Apache County,Both,2004,28.7,25.96,31.61,18.59,16.22,21.12
Iowa,Appanoose County,Both,2004,28.34,25.34,31.51,23.05,20.4,26.04
Georgia,Appling County,Both,2004,27.34,24.51,30.49,21.88,19.25,24.83
Virginia,Appomattox County,Both,2004,28.24,25.17,31.77,22.9,19.97,26.1
Texas,Aransas County,Both,2004,25.61,22.37,28.77,19.38,16.46,22.42
Colorado,Arapahoe County,Both,2004,20.38,19.06,21.76,14.86,13.7,16.08
Texas,Archer County,Both,2004,24.09,21.22,27.1,18.84,16.26,21.55
Colorado,Archuleta County,Both,2004,22.15,19.75,25,15.92,13.84,18.41
Michigan,Arenac County,Both,2004,29.1,25.85,32.25,23.58,20.56,26.61
Arkansas,Arkansas County,Both,2004,27.61,24.8,30.38,22.88,20.21,25.75
Virginia,Arlington County,Both,2004,15.27,13.54,17.18,9.76,8.36,11.19
Pennsylvania,Armstrong County,Both,2004,27.91,26.08,29.92,22.57,20.67,24.43
Texas,Armstrong County,Both,2004,20.69,18.11,23.7,15.95,13.7,18.45
Maine,Aroostook County,Both,2004,27.77,25.61,30.03,22.89,20.6,25.16
Nebraska,Arthur County,Both,2004,23.27,20.28,26.39,18.14,15.61,21.11
Louisiana,Ascension Parish,Both,2004,27.34,24.93,29.72,21.75,19.55,24.07
North Carolina,Ashe County,Both,2004,27.54,24.9,30.29,22.38,19.87,24.67
Ohio,Ashland County,Both,2004,28.57,25.34,32.25,22.87,20.12,26.26
Wisconsin,Ashland County,Both,2004,26.74,23.62,30.11,20.63,17.84,23.55
