fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2009,21.27,21.05,21.57,15.4,15.21,15.66
,Alabama,,Both,2009,25.01,24.37,25.71,18.63,18.13,19.23
01001,Alabama,Autauga County,Both,2009,25.05,21.53,28.84,18.81,16.16,22.01
01003,Alabama,Baldwin County,Both,2009,24.11,21.38,27.4,18.93,16.64,21.56
01005,Alabama,Barbour County,Both,2009,27.51,23.9,31.65,19.83,17.06,22.99
01007,Alabama,Bibb County,Both,2009,29.12,24.96,33.64,22,18.67,26.09
01009,Alabama,Blount County,Both,2009,28.88,24.84,32.93,21.73,18.41,25.48
01011,Alabama,Bullock County,Both,2009,27.16,22.81,31.67,18.65,15.68,22.28
01013,Alabama,Butler County,Both,2009,28.34,24.2,32.5,21.3,17.9,24.68
01015,Alabama,Calhoun County,Both,2009,28.79,25.23,32.4,22.4,19.51,25.25
01017,Alabama,Chambers County,Both,2009,28.32,24.13,32.64,21.92,18.83,25.43
01019,Alabama,Cherokee County,Both,2009,26.78,23.1,31.35,21.49,18.23,25.2
01021,Alabama,Chilton County,Both,2009,27.69,23.84,32.22,21.94,18.76,25.54
01023,Alabama,Choctaw County,Both,2009,23.82,19.93,28.08,17.75,14.95,21.19
01025,Alabama,Clarke County,Both,2009,24.18,20.73,27.93,18.47,15.51,21.62
01027,Alabama,Clay County,Both,2009,28.75,24.54,33.31,22.06,18.47,26.02
01029,Alabama,Cleburne County,Both,2009,28.39,24.19,33.06,22.37,18.73,26.18
01031,Alabama,Coffee County,Both,2009,24.16,20.71,28.02,18.06,15.38,21.13
01033,Alabama,Colbert County,Both,2009,26.48,22.9,30.2,20.7,17.84,23.7
01035,Alabama,Conecuh County,Both,2009,27.72,23.55,31.82,21.45,18.17,24.98
01037,Alabama,Coosa County,Both,2009,29.46,25.27,34.53,22.81,19.12,26.82
01039,Alabama,Covington County,Both,2009,31.24,26.93,35.93,24.2,20.9,27.97
01041,Alabama,Crenshaw County,Both,2009,26.63,22.5,31.26,20.7,17.33,24.69
01043,Alabama,Cullman County,Both,2009,28.46,24.2,32.7,22.39,19.17,25.85
01045,Alabama,Dale County,Both,2009,23.76,20.31,27.88,18.44,15.64,21.67
01047,Alabama,Dallas County,Both,2009,26.52,22.58,30.13,18.59,16.03,21.77
01049,Alabama,DeKalb County,Both,2009,25.61,21.63,29.76,20.26,16.97,23.81
01051,Alabama,Elmore County,Both,2009,26.35,22.43,30.39,20.08,16.96,23.33
01053,Alabama,Escambia County,Both,2009,29.98,25.95,34.22,23.25,20.2,27.06
01055,Alabama,Etowah County,Both,2009,28.5,24.75,32.34,22.18,19.15,25.29
01057,Alabama,Fayette County,Both,2009,26.34,22.43,30.83,20.43,17.14,24.24
01059,Alabama,Franklin County,Both,2009,27.7,23.74,31.74,21.4,18.25,25.05
01061,Alabama,Geneva County,Both,2009,28.51,24.62,32.98,22.76,19.32,26.22
01063,Alabama,Greene County,Both,2009,25.38,21.07,29.58,16.99,13.97,20.61
01065,Alabama,Hale County,Both,2009,25.72,21.86,29.76,18.07,15.1,21.46
01067,Alabama,Henry County,Both,2009,24.49,20.82,28.45,18.41,15.46,21.51
01069,Alabama,Houston County,Both,2009,24.27,21.02,27.78,18.57,16.05,21.57
01071,Alabama,Jackson County,Both,2009,27.51,23.16,31.92,21.53,18.04,24.91
01073,Alabama,Jefferson County,Both,2009,23.01,20.64,25.47,16.32,14.47,18.3
01075,Alabama,Lamar County,Both,2009,27.18,23.2,31.19,21.65,18.6,25.29
01077,Alabama,Lauderdale County,Both,2009,24.05,20.84,27.31,18.67,16.18,21.38
01079,Alabama,Lawrence County,Both,2009,27.63,23.66,32.17,21.57,18.39,25.25
01081,Alabama,Lee County,Both,2009,21.22,18.2,24.57,14.94,12.61,17.5
01083,Alabama,Limestone County,Both,2009,25.72,22.31,29.99,19.53,16.77,22.84
01085,Alabama,Lowndes County,Both,2009,25.5,21.13,30.01,17.64,14.6,21.55
01087,Alabama,Macon County,Both,2009,24.53,20.4,28.74,15.87,12.93,19.08
01089,Alabama,Madison County,Both,2009,21.7,19.1,24.25,15.61,13.66,17.73
01091,Alabama,Marengo County,Both,2009,22.29,19.06,25.85,15.02,12.75,17.55
01093,Alabama,Marion County,Both,2009,28.21,24.44,32.51,22.22,19.08,25.76
01095,Alabama,Marshall County,Both,2009,27.59,23.71,31.56,21.58,18.46,25.1
01097,Alabama,Mobile County,Both,2009,27.38,24.91,30.13,20.14,18.09,22.37
01099,Alabama,Monroe County,Both,2009,25.21,21.48,29.3,20.18,17.18,23.83
01101,Alabama,Montgomery County,Both,2009,22.37,19.47,25.51,15.54,13.4,17.92
01103,Alabama,Morgan County,Both,2009,27.59,23.98,31.37,20.88,17.87,23.88
01105,Alabama,Perry County,Both,2009,24.44,20.36,29.32,16.76,13.69,20.51
01107,Alabama,Pickens County,Both,2009,26.21,22.23,30.6,19.19,15.91,22.74
01109,Alabama,Pike County,Both,2009,22.91,19.57,26.78,16.88,14.36,19.96
01111,Alabama,Randolph County,Both,2009,29.52,25.39,34.21,22.35,18.69,26.35
01113,Alabama,Russell County,Both,2009,28.45,24.5,32.93,21.04,17.84,24.69
01115,Alabama,St. Clair County,Both,2009,26.83,23.25,30.65,20.91,18.19,24.05
01117,Alabama,Shelby County,Both,2009,19.16,16.51,21.86,13.24,11.18,15.43
01119,Alabama,Sumter County,Both,2009,23.52,19.7,27.76,15.63,12.88,18.86
01121,Alabama,Talladega County,Both,2009,27.24,23.61,31.07,20.86,18.17,24
01123,Alabama,Tallapoosa County,Both,2009,26.27,22.77,30,19.63,16.7,22.86
01125,Alabama,Tuscaloosa County,Both,2009,23.2,20.7,26.07,16.94,14.95,19.25
01127,Alabama,Walker County,Both,2009,28.64,25.21,32.56,22.15,19.18,25.62
01129,Alabama,Washington County,Both,2009,24.71,20.89,28.94,19.26,16.17,22.74
01131,Alabama,Wilcox County,Both,2009,24.38,20.17,28.9,17.2,14.25,20.89
01133,Alabama,Winston County,Both,2009,28.75,24.43,33.21,23.35,19.78,26.97
,Alaska,,Both,2009,22.35,21.33,23.43,15.68,14.86,16.53
02013,Alaska,Aleutians East Borough,Both,2009,27.07,22.98,31.67,18.61,15.31,22.34
02016,Alaska,Aleutians West Census Area,Both,2009,27.83,23.74,31.77,19.72,16.44,23.07
02020,Alaska,Anchorage Municipality,Both,2009,18.77,16.95,20.8,13.07,11.57,14.58
02050,Alaska,Bethel Census Area,Both,2009,31.93,27.61,36.36,20.17,16.7,23.93
02060,Alaska,Bristol Bay Borough,Both,2009,30.53,26.21,35.14,21.24,17.85,25.1
,Alaska,Denali Borough/Yukon-Koyukuk Census Area,Both,2009,33.93,29.82,37.96,23.44,20.27,26.97
02070,Alaska,Dillingham Census Area,Both,2009,34.25,29.52,38.89,22.38,18.68,26.42
02090,Alaska,Fairbanks North Star Borough,Both,2009,21.59,19.47,23.72,15.35,13.61,17.14
02100,Alaska,Haines Borough,Both,2009,20.32,17.18,23.69,13.55,11.35,15.97
02110,Alaska,Juneau City and Borough,Both,2009,20.38,17.76,23.21,13.27,11.4,15.42
02122,Alaska,Kenai Peninsula Borough,Both,2009,23.06,20.33,25.48,17.01,15,19.12
02150,Alaska,Kodiak Island Borough,Both,2009,22.38,18.81,26.01,15.97,13.47,18.76
02164,Alaska,Lake and Peninsula Borough,Both,2009,30.54,25.76,35.59,19.63,16.17,23.87
02170,Alaska,Matanuska-Susitna Borough,Both,2009,25.06,22.85,27.45,18.3,16.48,20.38
02180,Alaska,Nome Census Area,Both,2009,39.89,34.62,44.59,27.49,23.36,31.79
02185,Alaska,North Slope Borough,Both,2009,37.45,33.1,42.11,26.76,23,30.85
02188,Alaska,Northwest Arctic Borough,Both,2009,42.1,36.49,47.27,30.33,25.65,35.03
02220,Alaska,Sitka City and Borough,Both,2009,21.19,18.03,24.73,14.03,11.73,16.76
,Alaska,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,Both,2009,22.32,18.87,26.42,14.5,12.09,17.34
02240,Alaska,Southeast Fairbanks Census Area,Both,2009,24.29,20.97,27.95,17.24,14.62,20.19
02261,Alaska,Valdez-Cordova Census Area,Both,2009,23.36,20.05,26.74,16.4,13.89,19.24
02158,Alaska,Wade Hampton Census Area,Both,2009,36.48,31.29,41.8,23.34,18.9,27.96
,Alaska,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,Both,2009,25.27,22.66,28.21,17.59,15.47,19.93
,Arizona,,Both,2009,20.68,19.56,21.83,14.42,13.58,15.32
04001,Arizona,Apache County,Both,2009,24.58,20.85,28.8,16.7,13.87,19.85
04003,Arizona,Cochise County,Both,2009,24.99,21.94,28.47,19.25,17,21.75
04005,Arizona,Coconino County,Both,2009,20.03,17.31,22.89,13.92,11.82,16.28
04007,Arizona,Gila County,Both,2009,27.28,23.62,30.98,20.19,17.35,23.24
04009,Arizona,Graham County,Both,2009,21.07,17.99,24.72,15.52,13.14,18.53
04011,Arizona,Greenlee County,Both,2009,21.79,18.7,25.07,15.44,13.33,18.02
04012,Arizona,La Paz County,Both,2009,29.32,25.9,33.16,22.08,19.17,24.85
04013,Arizona,Maricopa County,Both,2009,19.63,17.8,21.42,13.2,11.9,14.59
04015,Arizona,Mohave County,Both,2009,30.79,27.52,34.2,24.36,21.68,27.2
04017,Arizona,Navajo County,Both,2009,22.28,18.91,25.9,16.03,13.46,18.89
04019,Arizona,Pima County,Both,2009,20.58,18.38,22.97,14.84,13.15,16.52
04021,Arizona,Pinal County,Both,2009,21.6,18.96,24.72,16.19,13.82,18.57
04023,Arizona,Santa Cruz County,Both,2009,21.41,18.45,24.8,13.43,11.58,15.75
04025,Arizona,Yavapai County,Both,2009,25.14,22.03,28.47,18.99,16.62,21.79
04027,Arizona,Yuma County,Both,2009,19.14,16.2,22.18,12.72,10.82,14.71
,Arkansas,,Both,2009,26.65,25.97,27.44,20.16,19.59,20.77
05001,Arkansas,Arkansas County,Both,2009,27.5,23.2,31.81,20.84,17.34,24.32
05003,Arkansas,Ashley County,Both,2009,28.76,24.54,32.78,21.49,17.94,24.94
05005,Arkansas,Baxter County,Both,2009,28.51,24.51,32.94,22.88,19.4,26.72
05007,Arkansas,Benton County,Both,2009,22.09,19.44,25.35,17.26,15.32,19.8
05009,Arkansas,Boone County,Both,2009,27.89,23.94,32.19,22.33,19.14,26.12
05011,Arkansas,Bradley County,Both,2009,28.42,24.01,33.37,20.76,17.23,24.71
05013,Arkansas,Calhoun County,Both,2009,30.6,25.92,35.86,23.7,19.76,28.45
05015,Arkansas,Carroll County,Both,2009,27.13,23.53,31.56,21.11,17.94,24.87
05017,Arkansas,Chicot County,Both,2009,28.02,23.84,32.57,19.95,16.69,23.43
05019,Arkansas,Clark County,Both,2009,23.68,19.87,28.06,17.53,14.49,21.18
05021,Arkansas,Clay County,Both,2009,31.84,27.5,36.53,26.18,22.53,30.52
05023,Arkansas,Cleburne County,Both,2009,28.33,24.56,32.99,21.68,18.3,25.37
05025,Arkansas,Cleveland County,Both,2009,27.04,22.92,31.74,20.55,17.41,24.42
05027,Arkansas,Columbia County,Both,2009,23.77,19.85,28.11,17.25,14.15,20.75
05029,Arkansas,Conway County,Both,2009,28.92,24.95,33.26,22.55,19.31,26.32
05031,Arkansas,Craighead County,Both,2009,25.86,22.25,29.73,19.64,16.77,22.69
05033,Arkansas,Crawford County,Both,2009,27.11,22.94,31.62,21.76,18.43,25.52
05035,Arkansas,Crittenden County,Both,2009,29.54,25.66,33.76,22.14,19.01,25.65
05037,Arkansas,Cross County,Both,2009,31.08,26.72,35.71,24.4,20.96,28.35
05039,Arkansas,Dallas County,Both,2009,28.5,24.54,32.63,21.49,18.1,25.21
05041,Arkansas,Desha County,Both,2009,26.05,21.89,30.95,18.96,15.88,22.71
05043,Arkansas,Drew County,Both,2009,25.29,21.46,29.57,18.56,15.59,21.88
05045,Arkansas,Faulkner County,Both,2009,23.29,19.83,27.17,17.44,14.89,20.28
05047,Arkansas,Franklin County,Both,2009,28.94,24.46,33.35,23.25,19.31,27.07
05049,Arkansas,Fulton County,Both,2009,30.33,25.44,35.12,24.43,20.27,28.6
05051,Arkansas,Garland County,Both,2009,30.29,26.62,34.66,23.6,20.32,27.1
05053,Arkansas,Grant County,Both,2009,28.43,24.36,32.8,22.09,18.82,26.04
05055,Arkansas,Greene County,Both,2009,29.19,24.94,33.63,24.09,20.47,27.9
05057,Arkansas,Hempstead County,Both,2009,27.26,23.64,31.49,20.79,17.82,24.27
05059,Arkansas,Hot Spring County,Both,2009,29.57,25.28,34.2,23.31,19.85,26.99
05061,Arkansas,Howard County,Both,2009,28.25,24.03,32.92,21.71,18.27,25.62
05063,Arkansas,Independence County,Both,2009,27.19,23.19,31.64,21.4,17.96,25.25
05065,Arkansas,Izard County,Both,2009,28.45,24.08,33.13,22.49,18.96,26.63
05067,Arkansas,Jackson County,Both,2009,33.01,28.08,37.86,25.83,21.9,30.25
05069,Arkansas,Jefferson County,Both,2009,28.95,25.23,33.1,20.1,17.5,23.26
05071,Arkansas,Johnson County,Both,2009,28.38,24.61,32.82,22.05,18.9,25.88
05073,Arkansas,Lafayette County,Both,2009,28.63,24.41,33.03,21.48,18.08,25.26
05075,Arkansas,Lawrence County,Both,2009,29.72,25.5,34.97,23.61,19.93,28.04
05077,Arkansas,Lee County,Both,2009,32.95,28.19,38.23,24.25,20.34,28.49
05079,Arkansas,Lincoln County,Both,2009,31.25,26.95,35.89,22.82,19.07,26.99
05081,Arkansas,Little River County,Both,2009,28.77,24.28,33.16,22.61,19.25,26.54
05083,Arkansas,Logan County,Both,2009,31.27,26.96,35.86,24.95,21.1,29.12
05085,Arkansas,Lonoke County,Both,2009,26.61,22.67,30.69,20.18,16.84,23.48
05087,Arkansas,Madison County,Both,2009,28.09,23.85,32.64,22.45,18.84,26.43
05089,Arkansas,Marion County,Both,2009,27.33,23.32,31.83,21.82,18.35,25.49
05091,Arkansas,Miller County,Both,2009,31.9,27.65,36.14,25.02,21.72,28.67
05093,Arkansas,Mississippi County,Both,2009,29.68,25.74,33.98,22.88,19.57,26.49
05095,Arkansas,Monroe County,Both,2009,28.82,24.17,33.45,20.92,17.47,24.66
05097,Arkansas,Montgomery County,Both,2009,27.98,23.8,32.73,21.84,18.23,25.85
05099,Arkansas,Nevada County,Both,2009,28.26,24.22,33.01,21.94,18.48,25.71
05101,Arkansas,Newton County,Both,2009,27.55,23.54,32.25,21.64,18.18,25.8
05103,Arkansas,Ouachita County,Both,2009,28.29,24.36,32.72,21.45,18.3,24.87
05105,Arkansas,Perry County,Both,2009,29.91,25.41,35.03,23.76,19.81,28.2
05107,Arkansas,Phillips County,Both,2009,29.51,25.04,33.64,20.89,17.52,24.39
05109,Arkansas,Pike County,Both,2009,28.31,24.34,32.8,22.28,18.87,26.38
05111,Arkansas,Poinsett County,Both,2009,33.32,28.54,37.99,26.7,22.85,30.85
05113,Arkansas,Polk County,Both,2009,30.22,26.34,34.61,23.58,20.13,27.37
05115,Arkansas,Pope County,Both,2009,25.45,21.74,29.27,19.43,16.73,22.72
05117,Arkansas,Prairie County,Both,2009,28.29,23.88,32.71,21.89,18.32,25.79
05119,Arkansas,Pulaski County,Both,2009,24.1,21.49,26.92,16.17,14.29,18.26
05121,Arkansas,Randolph County,Both,2009,28.64,24.52,33.46,22.45,19.09,26.93
05123,Arkansas,St. Francis County,Both,2009,31.39,27.25,35.72,22.93,19.85,26.45
05125,Arkansas,Saline County,Both,2009,26.48,22.99,30.36,20.46,17.35,23.81
05127,Arkansas,Scott County,Both,2009,30.87,26.24,35.77,24.11,20.43,28.08
05129,Arkansas,Searcy County,Both,2009,31.37,26.76,36.3,24.81,21.08,28.92
