fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2011,20.6,20.36,20.95,14.68,14.5,14.99
,Alabama,,Both,2011,24.56,23.89,25.36,18.22,17.66,18.89
01001,Alabama,Autauga County,Both,2011,25.81,21.99,29.93,19.16,16.01,22.81
01003,Alabama,Baldwin County,Both,2011,21.49,18.58,24.68,16.69,14.1,19.66
01005,Alabama,Barbour County,Both,2011,26.89,22.7,31.43,19.49,16.04,23.31
01007,Alabama,Bibb County,Both,2011,30.18,25.68,35.28,23.49,19.59,28.33
01009,Alabama,Blount County,Both,2011,27.94,23.69,32.41,20.69,17.06,24.72
01011,Alabama,Bullock County,Both,2011,27.47,22.72,32.41,19.18,15.72,23.4
01013,Alabama,Butler County,Both,2011,28.87,24.27,33.37,21.06,17.16,25.29
01015,Alabama,Calhoun County,Both,2011,27.1,23.74,30.88,20.73,17.59,24.19
01017,Alabama,Chambers County,Both,2011,28.97,24.51,33.72,21.83,18.29,25.9
01019,Alabama,Cherokee County,Both,2011,26.47,22.16,31.25,20.55,16.85,24.73
01021,Alabama,Chilton County,Both,2011,28.38,24.33,32.93,21.93,18.31,26.03
01023,Alabama,Choctaw County,Both,2011,25.37,21.28,29.8,18.32,15.06,22.3
01025,Alabama,Clarke County,Both,2011,24.89,21.12,29.12,18.44,15.04,22.03
01027,Alabama,Clay County,Both,2011,29.65,25.19,34.66,23.42,19.35,28.39
01029,Alabama,Cleburne County,Both,2011,29.23,24.64,34.31,23.7,19.69,28.24
01031,Alabama,Coffee County,Both,2011,23.92,20.11,28.11,17.35,14.29,20.77
01033,Alabama,Colbert County,Both,2011,25.86,22.15,29.72,19.46,16.17,22.83
01035,Alabama,Conecuh County,Both,2011,28.13,23.6,32.93,20.55,16.96,24.47
01037,Alabama,Coosa County,Both,2011,30.43,25.49,35.66,23.28,18.88,27.76
01039,Alabama,Covington County,Both,2011,29.24,24.85,34.37,22.26,18.53,26.76
01041,Alabama,Crenshaw County,Both,2011,28.05,23.55,33.1,21.22,17.2,25.92
01043,Alabama,Cullman County,Both,2011,27.5,23.32,31.97,20.93,17.6,24.85
01045,Alabama,Dale County,Both,2011,24.16,20.49,28.59,18.33,15.22,22.07
01047,Alabama,Dallas County,Both,2011,27.09,23.19,31.43,18.75,15.67,22.57
01049,Alabama,DeKalb County,Both,2011,28.24,23.66,32.94,21.71,17.94,25.93
01051,Alabama,Elmore County,Both,2011,26.87,23.08,31.15,19.96,16.66,23.67
01053,Alabama,Escambia County,Both,2011,28.09,23.7,32.8,21.57,18.01,25.72
01055,Alabama,Etowah County,Both,2011,28.48,24.65,32.71,21.75,18.26,25.59
01057,Alabama,Fayette County,Both,2011,27.8,23.53,32.92,21.83,17.92,26.41
01059,Alabama,Franklin County,Both,2011,25.98,21.88,30.18,19.87,16.34,23.84
01061,Alabama,Geneva County,Both,2011,27.91,23.66,33.09,21.77,18.12,26.07
01063,Alabama,Greene County,Both,2011,26.71,22.36,31.71,17.43,14.09,21.6
01065,Alabama,Hale County,Both,2011,26.75,22.34,31.41,18.29,14.78,22.27
01067,Alabama,Henry County,Both,2011,24.02,20.3,28.41,17.88,14.58,21.57
01069,Alabama,Houston County,Both,2011,25.52,22.01,29.42,19.08,16.17,22.46
01071,Alabama,Jackson County,Both,2011,28.82,24.49,33.59,23.1,19.16,27.22
01073,Alabama,Jefferson County,Both,2011,22.67,20.36,25.28,16.53,14.39,18.89
01075,Alabama,Lamar County,Both,2011,26.78,22.42,31.17,20.78,17.02,24.85
01077,Alabama,Lauderdale County,Both,2011,23.72,20.29,27.15,17.7,14.83,20.97
01079,Alabama,Lawrence County,Both,2011,27.7,23.51,32.32,20.5,16.97,24.62
01081,Alabama,Lee County,Both,2011,21.25,18.01,24.88,15.46,12.8,18.43
01083,Alabama,Limestone County,Both,2011,24.25,20.45,28.89,17.83,14.67,21.4
01085,Alabama,Lowndes County,Both,2011,26.2,21.49,31.14,17.31,13.92,21.68
01087,Alabama,Macon County,Both,2011,25.32,20.96,30.06,16.75,13.22,20.74
01089,Alabama,Madison County,Both,2011,20.57,18.02,23.42,14.66,12.46,17.14
01091,Alabama,Marengo County,Both,2011,22.1,18.76,25.9,15.22,12.5,18.2
01093,Alabama,Marion County,Both,2011,27.48,23.38,31.99,21.62,17.92,25.68
01095,Alabama,Marshall County,Both,2011,28.18,24.07,32.58,21.86,18.36,25.79
01097,Alabama,Mobile County,Both,2011,25.71,22.87,28.73,18.89,16.39,21.53
01099,Alabama,Monroe County,Both,2011,27.06,23.06,31.46,20.5,17.04,24.53
01101,Alabama,Montgomery County,Both,2011,22.19,19.14,25.54,15.39,12.93,18.11
01103,Alabama,Morgan County,Both,2011,26.46,22.46,30.55,19.69,16.44,23.09
01105,Alabama,Perry County,Both,2011,26.45,21.99,31.82,17.7,14.21,21.69
01107,Alabama,Pickens County,Both,2011,27.4,23.17,32.04,20.03,16.2,24.33
01109,Alabama,Pike County,Both,2011,22.76,19.24,27.26,16.82,13.98,20.27
01111,Alabama,Randolph County,Both,2011,29.23,24.6,34.11,22.85,18.96,27.43
01113,Alabama,Russell County,Both,2011,27.56,23.26,32.5,20.62,16.93,24.9
01115,Alabama,St. Clair County,Both,2011,26.43,22.62,30.36,20.28,17.1,24.14
01117,Alabama,Shelby County,Both,2011,18.23,15.48,21.31,13.28,11,15.99
