fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2005,23.32,23.16,23.53,17.29,17.16,17.47
,Alabama,,Both,2005,26.61,26.08,27.21,20.46,20,21.01
01001,Alabama,Autauga County,Both,2005,26.41,23.89,29.26,20.58,18.38,23.22
01003,Alabama,Baldwin County,Both,2005,25.53,23.33,27.91,20.14,18.1,22.45
01005,Alabama,Barbour County,Both,2005,27.7,24.76,30.67,20.91,18.2,23.81
01007,Alabama,Bibb County,Both,2005,30.22,27.03,33.56,24.12,21.3,27.11
01009,Alabama,Blount County,Both,2005,29.39,26.6,32.39,23.61,20.78,26.79
01011,Alabama,Bullock County,Both,2005,28.67,25.65,31.81,20.55,17.8,23.57
01013,Alabama,Butler County,Both,2005,27.53,24.62,30.45,21.75,19.14,24.78
01015,Alabama,Calhoun County,Both,2005,28.58,26.24,30.73,21.93,19.5,24.2
01017,Alabama,Chambers County,Both,2005,29.29,26.24,32.51,22.55,19.81,25.66
01019,Alabama,Cherokee County,Both,2005,27.91,25.2,31.09,23.07,20.28,26.09
01021,Alabama,Chilton County,Both,2005,28.98,26.15,32.3,23.21,20.46,26.3
01023,Alabama,Choctaw County,Both,2005,25.55,22.93,28.44,19.73,17.09,22.53
01025,Alabama,Clarke County,Both,2005,25.57,22.73,28.52,20,17.48,22.84
01027,Alabama,Clay County,Both,2005,29.28,26.09,32.15,23.49,20.4,26.57
01029,Alabama,Cleburne County,Both,2005,29.99,26.84,33.47,24.65,21.68,27.88
01031,Alabama,Coffee County,Both,2005,25.6,22.99,28.24,19.8,17.31,22.44
01033,Alabama,Colbert County,Both,2005,28.11,25.5,30.88,22.39,19.68,25.02
01035,Alabama,Conecuh County,Both,2005,26.54,23.56,29.45,20.97,18.23,23.78
01037,Alabama,Coosa County,Both,2005,30.75,27.45,34.06,24.02,21.03,27.13
01039,Alabama,Covington County,Both,2005,29.77,26.77,32.82,24.16,21.27,27.25
01041,Alabama,Crenshaw County,Both,2005,28.52,25.53,31.89,22.6,19.83,25.96
01043,Alabama,Cullman County,Both,2005,29.91,27.19,33.14,24.87,22.2,28.02
01045,Alabama,Dale County,Both,2005,25.93,23.24,29.05,20.13,17.73,23.01
01047,Alabama,Dallas County,Both,2005,25.9,23.34,28.75,19.44,17.02,22.09
01049,Alabama,DeKalb County,Both,2005,28.79,25.94,31.68,23.15,20.49,26.05
01051,Alabama,Elmore County,Both,2005,28.32,25.45,31.06,21.95,19.43,24.72
01053,Alabama,Escambia County,Both,2005,30.62,27.53,33.81,24.5,21.59,27.86
01055,Alabama,Etowah County,Both,2005,28.58,26.05,31.16,22.01,19.66,24.62
01057,Alabama,Fayette County,Both,2005,27.84,24.91,31.18,22.96,20.05,26.07
01059,Alabama,Franklin County,Both,2005,29.26,26.31,32.58,23.66,20.68,26.86
01061,Alabama,Geneva County,Both,2005,30.83,27.53,34.04,25.67,22.35,29.04
01063,Alabama,Greene County,Both,2005,26.35,23.33,29.51,19.35,16.59,22.46
01065,Alabama,Hale County,Both,2005,27.94,24.91,31.1,21.23,18.45,24.31
01067,Alabama,Henry County,Both,2005,25.72,22.74,28.86,20.16,17.57,23.22
01069,Alabama,Houston County,Both,2005,26.39,24.19,28.93,20.76,18.4,23.47
01071,Alabama,Jackson County,Both,2005,31.64,28.74,34.62,25.65,22.84,28.7
01073,Alabama,Jefferson County,Both,2005,25.75,24.27,27.21,19.09,17.73,20.49
01075,Alabama,Lamar County,Both,2005,28.29,25.25,31.36,23.13,20.43,26.39
01077,Alabama,Lauderdale County,Both,2005,26.11,23.73,28.68,21.07,18.68,23.72
01079,Alabama,Lawrence County,Both,2005,29.39,26.63,32.55,23.81,20.95,26.92
01081,Alabama,Lee County,Both,2005,23.48,21.23,25.94,17.14,15.16,19.34
01083,Alabama,Limestone County,Both,2005,27.09,24.32,29.75,21.6,18.98,24.39
01085,Alabama,Lowndes County,Both,2005,26.6,23.57,30,19.49,16.81,22.5
01087,Alabama,Macon County,Both,2005,24.48,21.8,27.34,17.08,14.9,19.82
01089,Alabama,Madison County,Both,2005,22.65,20.78,24.63,16.23,14.53,18.04
01091,Alabama,Marengo County,Both,2005,24.43,21.83,27.06,18.4,16.13,20.8
01093,Alabama,Marion County,Both,2005,29.09,26.29,31.95,23.8,21.11,26.66
01095,Alabama,Marshall County,Both,2005,30.47,27.89,33.29,24.24,21.58,26.82
01097,Alabama,Mobile County,Both,2005,29.04,27.11,30.98,22.32,20.6,24.26
01099,Alabama,Monroe County,Both,2005,26.55,23.83,29.6,21.28,18.53,24.21
01101,Alabama,Montgomery County,Both,2005,23.27,21.31,25.24,16.4,14.7,18.03
01103,Alabama,Morgan County,Both,2005,28.02,25.48,30.68,22.2,19.71,24.7
01105,Alabama,Perry County,Both,2005,25.64,22.83,28.96,18.37,15.98,21.27
01107,Alabama,Pickens County,Both,2005,25.9,23.12,28.85,20.28,17.59,23.15
