fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2008,21.72,21.5,22.01,15.82,15.64,16.04
,Alabama,,Both,2008,25.5,24.86,26.19,19.11,18.64,19.7
01001,Alabama,Autauga County,Both,2008,25.62,22.19,29.25,19.21,16.72,22.13
01003,Alabama,Baldwin County,Both,2008,24.72,22.18,27.83,19.39,17.17,21.76
01005,Alabama,Barbour County,Both,2008,27.32,23.87,31.26,19.89,17.28,22.88
01007,Alabama,Bibb County,Both,2008,29.45,25.35,33.6,22.24,19.08,25.87
01009,Alabama,Blount County,Both,2008,28.31,24.53,32.2,21.71,18.52,25.16
01011,Alabama,Bullock County,Both,2008,27.34,23.21,31.6,18.92,16.09,22.26
01013,Alabama,Butler County,Both,2008,28.07,24.15,31.67,21.44,18.37,24.56
01015,Alabama,Calhoun County,Both,2008,28.76,25.61,31.98,22.23,19.55,24.77
01017,Alabama,Chambers County,Both,2008,29.11,25.33,33.15,22.18,19.26,25.32
01019,Alabama,Cherokee County,Both,2008,26.77,23.31,31.13,21.43,18.47,24.88
01021,Alabama,Chilton County,Both,2008,28.06,24.36,32.37,22.28,19.39,25.76
01023,Alabama,Choctaw County,Both,2008,24.59,21.06,28.64,18.68,16.12,21.87
01025,Alabama,Clarke County,Both,2008,25.52,22.29,29.18,19.62,16.89,22.58
01027,Alabama,Clay County,Both,2008,28.35,24.41,32.57,21.8,18.51,25.5
01029,Alabama,Cleburne County,Both,2008,29.92,25.75,34.34,24.16,20.65,27.76
01031,Alabama,Coffee County,Both,2008,24.21,21.03,27.8,18.73,16.2,21.61
01033,Alabama,Colbert County,Both,2008,26.51,23.1,29.9,21.13,18.52,23.86
01035,Alabama,Conecuh County,Both,2008,28.04,24.21,31.83,21.7,18.72,24.98
01037,Alabama,Coosa County,Both,2008,29.43,25.41,34.28,22.62,19.12,26.26
01039,Alabama,Covington County,Both,2008,30.68,26.51,35.03,24.27,21.16,27.79
01041,Alabama,Crenshaw County,Both,2008,27.17,23.22,31.51,21.55,18.4,25.23
01043,Alabama,Cullman County,Both,2008,28.71,24.69,32.55,23.01,19.98,26.26
01045,Alabama,Dale County,Both,2008,24.41,21.16,28.31,19,16.33,22.06
01047,Alabama,Dallas County,Both,2008,26.47,22.93,29.78,18.56,16.1,21.42
01049,Alabama,DeKalb County,Both,2008,25.78,22.08,29.75,20.26,17.2,23.4
01051,Alabama,Elmore County,Both,2008,26.8,23.09,30.67,20.5,17.63,23.57
01053,Alabama,Escambia County,Both,2008,31.03,27.37,34.99,23.94,21.01,27.48
01055,Alabama,Etowah County,Both,2008,28.26,24.81,31.77,21.71,18.93,24.62
01057,Alabama,Fayette County,Both,2008,27.22,23.46,31.54,21.23,18.08,24.71
01059,Alabama,Franklin County,Both,2008,28.39,24.72,32.4,22.1,19.14,25.68
01061,Alabama,Geneva County,Both,2008,30.7,26.99,34.85,25,21.57,28.3
01063,Alabama,Greene County,Both,2008,25.61,21.59,29.67,17.45,14.63,20.88
01065,Alabama,Hale County,Both,2008,25.62,21.9,29.47,18.41,15.67,21.7
01067,Alabama,Henry County,Both,2008,25.08,21.51,28.87,18.83,16.09,21.68
01069,Alabama,Houston County,Both,2008,24.48,21.45,27.74,18.73,16.34,21.48
01071,Alabama,Jackson County,Both,2008,29.5,25.43,33.72,23.33,20.16,26.7
01073,Alabama,Jefferson County,Both,2008,23.5,21.31,25.7,16.78,15.11,18.58
01075,Alabama,Lamar County,Both,2008,28.36,24.52,32.15,22.65,19.74,26.09
01077,Alabama,Lauderdale County,Both,2008,24.35,21.33,27.38,19.29,16.94,21.84
01079,Alabama,Lawrence County,Both,2008,27.84,24.04,32.19,22.21,19.27,25.59
01081,Alabama,Lee County,Both,2008,21.46,18.66,24.67,15.54,13.31,17.97
01083,Alabama,Limestone County,Both,2008,25.73,22.45,29.69,19.7,17.09,22.79
01085,Alabama,Lowndes County,Both,2008,26.29,22.24,30.56,18.45,15.59,22.08
01087,Alabama,Macon County,Both,2008,24.41,20.61,28.34,16.02,13.25,18.85
01089,Alabama,Madison County,Both,2008,22.49,20.06,24.99,16.06,14.27,18.06
01091,Alabama,Marengo County,Both,2008,23.18,20.16,26.47,15.81,13.55,18.24
01093,Alabama,Marion County,Both,2008,28.69,25,32.75,22.93,19.94,26.19
01095,Alabama,Marshall County,Both,2008,28.9,25.14,32.71,22.7,19.65,26.01
01097,Alabama,Mobile County,Both,2008,28.23,25.99,30.81,21.02,19.19,23.06
01099,Alabama,Monroe County,Both,2008,26.05,22.52,29.81,20.66,17.79,24.03
01101,Alabama,Montgomery County,Both,2008,22.68,19.89,25.6,15.62,13.68,17.79
01103,Alabama,Morgan County,Both,2008,27.98,24.55,31.49,21.7,18.92,24.46
01105,Alabama,Perry County,Both,2008,24.58,20.68,29.08,16.99,14.16,20.4
01107,Alabama,Pickens County,Both,2008,25.06,21.34,29.08,18.36,15.38,21.61
01109,Alabama,Pike County,Both,2008,23.2,20.04,26.91,17.33,14.95,20.26
01111,Alabama,Randolph County,Both,2008,29.53,25.82,33.99,22.46,19.21,26.04
01113,Alabama,Russell County,Both,2008,29.31,25.62,33.5,22,19.07,25.33
01115,Alabama,St. Clair County,Both,2008,27.1,23.74,30.7,21.26,18.6,24.21
01117,Alabama,Shelby County,Both,2008,19.53,17.03,22.03,13.56,11.63,15.68
01119,Alabama,Sumter County,Both,2008,24.27,20.69,28.13,16.58,14.02,19.63
01121,Alabama,Talladega County,Both,2008,27.86,24.46,31.37,21.33,18.84,24.17
01123,Alabama,Tallapoosa County,Both,2008,28.08,24.69,31.6,21.35,18.58,24.25
01125,Alabama,Tuscaloosa County,Both,2008,23.32,21.03,25.85,17.04,15.22,19.07
01127,Alabama,Walker County,Both,2008,29.75,26.45,33.47,23.26,20.55,26.46
01129,Alabama,Washington County,Both,2008,26.11,22.53,30.08,20.37,17.37,23.65
01131,Alabama,Wilcox County,Both,2008,25.51,21.54,29.74,17.91,15.19,21.46
01133,Alabama,Winston County,Both,2008,29.33,25.33,33.66,24.03,20.69,27.45
,Alaska,,Both,2008,22.72,21.77,23.72,16,15.24,16.78
02013,Alaska,Aleutians East Borough,Both,2008,31.69,27.62,36.34,22.65,19.35,26.41
02016,Alaska,Aleutians West Census Area,Both,2008,30.52,26.61,34.23,22.49,19.32,25.71
02020,Alaska,Anchorage Municipality,Both,2008,18.69,17,20.59,13.04,11.7,14.38
02050,Alaska,Bethel Census Area,Both,2008,32.65,28.62,36.73,20.54,17.36,23.9
02060,Alaska,Bristol Bay Borough,Both,2008,31.07,26.85,35.46,21.24,17.99,25
,Alaska,Denali Borough/Yukon-Koyukuk Census Area,Both,2008,33.34,29.51,37.17,22.57,19.66,25.88
02070,Alaska,Dillingham Census Area,Both,2008,33.62,29.16,37.94,21.33,17.87,25
02090,Alaska,Fairbanks North Star Borough,Both,2008,21.88,19.92,23.79,15.67,14.12,17.3
02100,Alaska,Haines Borough,Both,2008,21.05,17.92,24.33,14.35,12.25,16.67
02110,Alaska,Juneau City and Borough,Both,2008,21.12,18.72,23.74,14.09,12.36,16.05
02122,Alaska,Kenai Peninsula Borough,Both,2008,23.47,20.99,25.7,17.39,15.61,19.35
02150,Alaska,Kodiak Island Borough,Both,2008,23.84,20.55,27.22,17.81,15.46,20.42
02164,Alaska,Lake and Peninsula Borough,Both,2008,34.01,29.19,38.89,22.52,19,26.59
02170,Alaska,Matanuska-Susitna Borough,Both,2008,25.41,23.15,27.89,18.55,16.65,20.68
02180,Alaska,Nome Census Area,Both,2008,40.29,35.34,44.49,27.64,23.85,31.5
02185,Alaska,North Slope Borough,Both,2008,41.13,37.13,45.55,29.98,26.5,34.07
02188,Alaska,Northwest Arctic Borough,Both,2008,42.36,37.2,47.01,29.73,25.53,33.86
02220,Alaska,Sitka City and Borough,Both,2008,23.99,20.98,27.44,16.37,14.13,18.99
,Alaska,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,Both,2008,23.38,20.07,27.32,15.37,13.11,18.01
02240,Alaska,Southeast Fairbanks Census Area,Both,2008,25.31,22.01,28.87,18.13,15.67,20.92
02261,Alaska,Valdez-Cordova Census Area,Both,2008,23.87,20.78,26.86,17.04,14.72,19.73
02158,Alaska,Wade Hampton Census Area,Both,2008,37.43,32.4,42.24,23.42,19.45,27.52
,Alaska,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,Both,2008,26.16,23.72,28.88,17.97,16,20.14
,Arizona,,Both,2008,21.03,19.95,22.1,14.57,13.81,15.38
04001,Arizona,Apache County,Both,2008,25.18,21.71,29.06,16.72,14.12,19.56
04003,Arizona,Cochise County,Both,2008,24.83,22.06,27.97,19.13,17.07,21.4
04005,Arizona,Coconino County,Both,2008,19.69,17.19,22.37,13.67,11.78,15.86
04007,Arizona,Gila County,Both,2008,26.9,23.61,30.34,19.94,17.37,22.67
04009,Arizona,Graham County,Both,2008,22.97,20.02,26.25,16.76,14.58,19.47
04011,Arizona,Greenlee County,Both,2008,21.16,18.41,24.15,14.91,12.94,17.27
04012,Arizona,La Paz County,Both,2008,28.75,25.37,32.23,22.04,19.33,24.65
04013,Arizona,Maricopa County,Both,2008,19.94,18.34,21.63,13.34,12.14,14.58
04015,Arizona,Mohave County,Both,2008,31.04,28,34.1,24.65,22.29,27.23
