fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2000,24.46,24.23,24.74,19,18.81,19.28
,Alabama,,Both,2000,26.67,26.03,27.37,21.01,20.41,21.66
01001,Alabama,Autauga County,Both,2000,25.98,22.34,30.11,21.21,18.11,24.97
01003,Alabama,Baldwin County,Both,2000,26.36,23.19,29.76,20.24,17.35,23.45
01005,Alabama,Barbour County,Both,2000,28.41,24.28,32.79,22.18,18.54,25.97
01007,Alabama,Bibb County,Both,2000,29.58,25.35,34.11,24.1,20.35,28.1
01009,Alabama,Blount County,Both,2000,30.19,26.19,34.85,24.11,20.64,28.42
01011,Alabama,Bullock County,Both,2000,28.43,24.31,32.92,21.84,18.06,26.09
01013,Alabama,Butler County,Both,2000,28.41,24.21,32.73,22.6,19.04,26.7
01015,Alabama,Calhoun County,Both,2000,28.11,24.48,31.61,23.02,19.6,26.52
01017,Alabama,Chambers County,Both,2000,29.07,25.04,33.4,23.38,19.67,27.36
01019,Alabama,Cherokee County,Both,2000,29.16,24.95,33.81,24.67,20.83,28.94
01021,Alabama,Chilton County,Both,2000,28.87,24.84,33.18,23.94,20.33,27.99
01023,Alabama,Choctaw County,Both,2000,25.82,21.99,30.12,20.38,16.95,24.19
01025,Alabama,Clarke County,Both,2000,26.04,22,30.62,20.38,17,24.43
01027,Alabama,Clay County,Both,2000,29.21,25,33.73,24.01,20.08,28.08
01029,Alabama,Cleburne County,Both,2000,28.87,24.74,33.72,24.29,20.28,29.3
01031,Alabama,Coffee County,Both,2000,26.25,22.53,30.12,20.49,17.5,24.24
01033,Alabama,Colbert County,Both,2000,27.73,24,31.81,22.91,19.36,26.62
01035,Alabama,Conecuh County,Both,2000,27.51,23.41,31.51,21.84,18.26,25.99
01037,Alabama,Coosa County,Both,2000,28.26,24.07,32.34,22.62,18.83,26.44
01039,Alabama,Covington County,Both,2000,28.69,24.74,32.93,23.96,20.28,28.07
01041,Alabama,Crenshaw County,Both,2000,28.03,23.75,33.19,22.77,19,27.4
01043,Alabama,Cullman County,Both,2000,30.21,26.39,34.47,24.42,20.67,28.92
01045,Alabama,Dale County,Both,2000,26.98,23.26,31.02,21.23,18.22,25.03
01047,Alabama,Dallas County,Both,2000,27.5,23.42,32.26,21.04,17.64,24.91
01049,Alabama,DeKalb County,Both,2000,29.42,25.45,34.29,25.15,21.1,29.95
01051,Alabama,Elmore County,Both,2000,26.17,22.44,30.02,21.41,18.02,25.19
01053,Alabama,Escambia County,Both,2000,30.36,26.15,34.73,24.61,20.95,28.91
01055,Alabama,Etowah County,Both,2000,29.89,26.17,33.9,24.49,21.02,28.32
01057,Alabama,Fayette County,Both,2000,29.25,24.92,34.09,24.37,20.32,28.82
01059,Alabama,Franklin County,Both,2000,29.43,25.36,34.25,24.39,20.35,29.03
01061,Alabama,Geneva County,Both,2000,30.11,25.9,34.51,24.48,20.68,28.8
01063,Alabama,Greene County,Both,2000,25.62,21.44,30.15,18.87,15.4,22.5
01065,Alabama,Hale County,Both,2000,27.05,23.09,31.3,20.83,17.43,25.07
01067,Alabama,Henry County,Both,2000,26.05,21.93,30.3,20.41,17.05,24.52
01069,Alabama,Houston County,Both,2000,26.58,22.98,30.28,21.08,17.88,24.36
01071,Alabama,Jackson County,Both,2000,31.47,27.42,35.93,26.52,22.75,30.84
01073,Alabama,Jefferson County,Both,2000,25.51,23.27,27.98,19.15,17.13,21.24
01075,Alabama,Lamar County,Both,2000,28.9,24.44,33.5,23.78,19.96,28.45
01077,Alabama,Lauderdale County,Both,2000,26.3,22.64,30.17,21.39,17.88,25.05
01079,Alabama,Lawrence County,Both,2000,30.49,26.31,35.2,24.82,20.97,29.1
01081,Alabama,Lee County,Both,2000,22.42,19.37,25.83,17.37,14.74,20.43
01083,Alabama,Limestone County,Both,2000,27.99,24.42,31.93,22.01,18.69,25.43
01085,Alabama,Lowndes County,Both,2000,26.06,22.16,30.74,19.52,16.15,23.43
01087,Alabama,Macon County,Both,2000,23.59,19.93,27.53,17.34,14.4,20.92
01089,Alabama,Madison County,Both,2000,23.21,20.27,26.3,17.39,14.87,20.16
01091,Alabama,Marengo County,Both,2000,26.36,22.35,30.37,20.57,17.13,24.39
01093,Alabama,Marion County,Both,2000,30.21,26.25,34.46,25.25,21.42,29.26
01095,Alabama,Marshall County,Both,2000,31.15,27.24,35.34,25.17,21.64,29.04
01097,Alabama,Mobile County,Both,2000,27.54,24.76,30.48,21.74,19.37,24.6
01099,Alabama,Monroe County,Both,2000,27.52,23.41,32.21,21.61,17.82,25.64
01101,Alabama,Montgomery County,Both,2000,22.64,19.94,25.67,17.68,15.17,20.66
01103,Alabama,Morgan County,Both,2000,30.25,26.18,33.94,23.46,19.95,26.89
01105,Alabama,Perry County,Both,2000,26.35,22.07,30.82,20.24,16.63,24.08
01107,Alabama,Pickens County,Both,2000,26,22.19,30.15,20.61,17.23,24.51
01109,Alabama,Pike County,Both,2000,25.3,21.58,29.31,19.7,16.41,23.19
01111,Alabama,Randolph County,Both,2000,29.54,25.47,34.33,23.94,20.41,28.32
01113,Alabama,Russell County,Both,2000,29.26,25.16,33.7,23.73,19.92,27.7
01115,Alabama,St. Clair County,Both,2000,29.94,25.91,34.23,23.6,19.89,27.4
01117,Alabama,Shelby County,Both,2000,21.13,18.37,24.42,15.24,12.89,18.08
01119,Alabama,Sumter County,Both,2000,24.94,20.79,29.37,18.81,15.58,22.61
01121,Alabama,Talladega County,Both,2000,29.15,25.51,33.2,23.64,20.29,27.72
01123,Alabama,Tallapoosa County,Both,2000,27.44,23.59,31.43,21.89,18.47,25.62
01125,Alabama,Tuscaloosa County,Both,2000,24.11,21.29,27.36,18.84,16.14,21.8
01127,Alabama,Walker County,Both,2000,31.76,27.82,36.17,26.41,22.85,30.54
01129,Alabama,Washington County,Both,2000,27.34,23.37,31.97,21.25,17.56,25.51
01131,Alabama,Wilcox County,Both,2000,27.15,22.97,31.68,20.41,16.98,24.34
01133,Alabama,Winston County,Both,2000,30.77,26.02,35.32,25.91,21.83,30.44
,Alaska,,Both,2000,26.02,24.76,27.24,19.65,18.66,20.78
