fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,1998,24.5,24.27,24.79,19.54,19.34,19.85
,Alabama,,Both,1998,26.63,25.9,27.36,21.57,20.95,22.26
01001,Alabama,Autauga County,Both,1998,27.02,23.23,31.26,22.27,19.23,26.06
01003,Alabama,Baldwin County,Both,1998,25.95,22.61,29.66,20.84,17.8,24.22
01005,Alabama,Barbour County,Both,1998,28.89,24.62,33.22,23.29,19.48,27.09
01007,Alabama,Bibb County,Both,1998,30.09,25.93,34.67,24.92,21.15,29.16
01009,Alabama,Blount County,Both,1998,29.41,25.26,33.83,24.14,20.77,28.22
01011,Alabama,Bullock County,Both,1998,28.14,24.08,32.85,22.16,18.31,26.38
01013,Alabama,Butler County,Both,1998,27.59,23.69,31.96,22.48,18.97,26.42
01015,Alabama,Calhoun County,Both,1998,28.67,24.79,32.57,24.13,20.72,27.83
01017,Alabama,Chambers County,Both,1998,28.58,24.68,32.97,23.62,20.05,27.55
01019,Alabama,Cherokee County,Both,1998,29.95,25.47,34.49,25.75,21.88,30.12
01021,Alabama,Chilton County,Both,1998,29.6,25.61,33.9,24.82,20.99,28.91
01023,Alabama,Choctaw County,Both,1998,26.42,22.35,30.95,21.25,17.7,24.89
01025,Alabama,Clarke County,Both,1998,26.18,22.3,31.12,21.07,17.66,25.25
01027,Alabama,Clay County,Both,1998,28.84,24.44,33.52,24.33,20.46,28.63
01029,Alabama,Cleburne County,Both,1998,29.76,25.18,34.77,25.62,21.46,30.77
01031,Alabama,Coffee County,Both,1998,25.53,21.81,29.36,20.77,17.4,24.43
01033,Alabama,Colbert County,Both,1998,27.71,24.08,31.89,22.74,19.27,26.57
01035,Alabama,Conecuh County,Both,1998,27.2,23.06,31.48,22.1,18.68,26.31
01037,Alabama,Coosa County,Both,1998,28.42,23.86,32.6,23.03,19.04,26.95
01039,Alabama,Covington County,Both,1998,27.88,24,32.45,23.95,20.16,28.26
01041,Alabama,Crenshaw County,Both,1998,27.97,23.68,32.94,23.47,19.7,27.67
01043,Alabama,Cullman County,Both,1998,29.09,25.42,33.42,24.68,21.05,28.72
