fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2001,24.44,24.24,24.71,18.84,18.66,19.11
,Alabama,,Both,2001,26.93,26.3,27.61,21.05,20.47,21.67
01001,Alabama,Autauga County,Both,2001,26.5,23.03,30.54,21.42,18.57,24.94
01003,Alabama,Baldwin County,Both,2001,26.71,23.76,29.98,20.45,17.76,23.44
01005,Alabama,Barbour County,Both,2001,28.98,24.98,33.18,22.27,18.73,25.87
01007,Alabama,Bibb County,Both,2001,29.93,25.93,34.21,24.23,20.75,28
01009,Alabama,Blount County,Both,2001,30.6,26.81,34.94,24.39,21.09,28.55
01011,Alabama,Bullock County,Both,2001,28.71,24.68,32.91,21.98,18.41,26
01013,Alabama,Butler County,Both,2001,28.35,24.32,32.36,22.67,19.29,26.51
01015,Alabama,Calhoun County,Both,2001,28.06,24.55,31.39,22.82,19.54,26.11
01017,Alabama,Chambers County,Both,2001,29.15,25.39,33.19,23.47,19.96,27.3
01019,Alabama,Cherokee County,Both,2001,28.43,24.49,32.6,24.05,20.57,28.04
01021,Alabama,Chilton County,Both,2001,29.48,25.59,33.67,24.14,20.6,28.03
01023,Alabama,Choctaw County,Both,2001,26.11,22.45,30.25,20.55,17.17,24.24
01025,Alabama,Clarke County,Both,2001,26.19,22.33,30.52,20.42,17.22,24.32
01027,Alabama,Clay County,Both,2001,29.84,25.92,34.28,24.46,20.79,28.3
01029,Alabama,Cleburne County,Both,2001,28.5,24.6,32.99,23.7,20.02,28.09
01031,Alabama,Coffee County,Both,2001,26.89,23.27,30.7,20.38,17.42,23.8
01033,Alabama,Colbert County,Both,2001,27.38,23.84,31.41,22.09,18.74,25.61
01035,Alabama,Conecuh County,Both,2001,27.41,23.48,31.22,22.12,18.67,26.09
01037,Alabama,Coosa County,Both,2001,29.42,25.26,33.47,23.36,19.77,27.08
01039,Alabama,Covington County,Both,2001,28.69,25.07,32.7,23.79,20.35,27.61
01041,Alabama,Crenshaw County,Both,2001,28.13,23.97,33.17,22.61,19.05,27.11
01043,Alabama,Cullman County,Both,2001,30.46,26.72,34.65,24.6,21.14,28.84
01045,Alabama,Dale County,Both,2001,27.35,23.84,31.28,21.02,18.14,24.58
01047,Alabama,Dallas County,Both,2001,27.54,23.74,32.07,21.15,17.97,24.95
01049,Alabama,DeKalb County,Both,2001,29.59,25.78,34.17,25.35,21.57,29.93
01051,Alabama,Elmore County,Both,2001,27.22,23.66,30.97,21.84,18.66,25.45
01053,Alabama,Escambia County,Both,2001,30.4,26.49,34.67,24.8,21.27,28.83
01055,Alabama,Etowah County,Both,2001,29.54,26.03,33.28,24.22,21.12,27.73
01057,Alabama,Fayette County,Both,2001,29.46,25.29,34.1,24.54,20.68,28.92
01059,Alabama,Franklin County,Both,2001,29.27,25.31,33.99,23.83,20.13,28.29
01061,Alabama,Geneva County,Both,2001,30.48,26.45,34.72,24.64,20.92,28.85
01063,Alabama,Greene County,Both,2001,25.85,21.99,30.09,19.16,15.77,22.74
01065,Alabama,Hale County,Both,2001,27.27,23.48,31.41,21.04,17.69,25.07
01067,Alabama,Henry County,Both,2001,26.63,22.56,30.86,20.8,17.58,24.74
01069,Alabama,Houston County,Both,2001,26.84,23.42,30.37,21.13,18.13,24.26
01071,Alabama,Jackson County,Both,2001,32.44,28.58,36.7,27.26,23.7,31.25
01073,Alabama,Jefferson County,Both,2001,25.83,23.76,28.11,19.15,17.3,21.03
01075,Alabama,Lamar County,Both,2001,28.28,24.04,32.64,23.15,19.5,27.59
01077,Alabama,Lauderdale County,Both,2001,25.82,22.3,29.46,20.9,17.66,24.29
01079,Alabama,Lawrence County,Both,2001,30.22,26.21,34.72,24.4,20.73,28.45
01081,Alabama,Lee County,Both,2001,22.55,19.59,25.78,17.37,14.91,20.31
01083,Alabama,Limestone County,Both,2001,28.63,25.01,32.45,22.49,19.22,25.85
01085,Alabama,Lowndes County,Both,2001,26.41,22.77,30.73,19.94,16.83,23.63
01087,Alabama,Macon County,Both,2001,24.17,20.59,28.08,17.7,14.85,21.18
01089,Alabama,Madison County,Both,2001,23.71,20.85,26.68,17.68,15.25,20.27
01091,Alabama,Marengo County,Both,2001,25.85,22.02,29.68,19.99,16.8,23.63
01093,Alabama,Marion County,Both,2001,29.82,26.05,33.75,24.35,20.69,28.08
01095,Alabama,Marshall County,Both,2001,30.9,27.38,34.85,25.33,21.9,28.86
01097,Alabama,Mobile County,Both,2001,28.36,25.73,31.16,21.88,19.6,24.58
01099,Alabama,Monroe County,Both,2001,27.95,23.91,32.41,22.24,18.61,26.15
01101,Alabama,Montgomery County,Both,2001,22.88,20.33,25.78,17.61,15.23,20.37
01103,Alabama,Morgan County,Both,2001,29.93,26.27,33.41,23.37,20.12,26.73
01105,Alabama,Perry County,Both,2001,26.56,22.5,30.95,20.11,16.73,23.81
01107,Alabama,Pickens County,Both,2001,26.11,22.57,30.09,20.84,17.55,24.57
01109,Alabama,Pike County,Both,2001,25.67,22.06,29.65,19.57,16.45,22.97
01111,Alabama,Randolph County,Both,2001,29.52,25.74,33.94,23.68,20.36,27.91
01113,Alabama,Russell County,Both,2001,29.8,25.73,34.01,23.91,20.22,27.76
01115,Alabama,St. Clair County,Both,2001,30.14,26.38,34.24,23.88,20.37,27.58
01117,Alabama,Shelby County,Both,2001,20.9,18.27,23.99,14.99,12.83,17.54
01119,Alabama,Sumter County,Both,2001,25.39,21.53,29.68,18.93,15.86,22.67
