fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2002,24.45,24.25,24.7,18.56,18.4,18.8
,Alabama,,Both,2002,27.01,26.45,27.65,20.86,20.31,21.44
01001,Alabama,Autauga County,Both,2002,26.58,23.53,30.07,21.24,18.61,24.42
01003,Alabama,Baldwin County,Both,2002,25.63,23.13,28.45,19.65,17.22,22.19
01005,Alabama,Barbour County,Both,2002,28.69,25.21,32.45,21.88,18.78,25.19
01007,Alabama,Bibb County,Both,2002,30.55,26.85,34.53,24.6,21.29,28.19
01009,Alabama,Blount County,Both,2002,30.5,27.12,34.34,24.72,21.64,28.51
01011,Alabama,Bullock County,Both,2002,29.09,25.56,32.93,21.76,18.56,25.38
01013,Alabama,Butler County,Both,2002,27.66,24.16,31.07,22.08,19.16,25.51
01015,Alabama,Calhoun County,Both,2002,29.05,25.95,31.96,22.44,19.54,25.22
01017,Alabama,Chambers County,Both,2002,29.48,26.09,33.25,23.41,20.2,26.77
01019,Alabama,Cherokee County,Both,2002,28.66,25.23,32.46,24,20.79,27.62
01021,Alabama,Chilton County,Both,2002,29.29,25.81,33.04,23.94,20.75,27.46
01023,Alabama,Choctaw County,Both,2002,25.85,22.63,29.52,20.35,17.34,23.66
01025,Alabama,Clarke County,Both,2002,25.81,22.48,29.65,20.09,17.26,23.51
01027,Alabama,Clay County,Both,2002,30.02,26.31,33.8,24.54,21.28,28.02
01029,Alabama,Cleburne County,Both,2002,29.1,25.64,33.1,24.11,20.83,28.03
01031,Alabama,Coffee County,Both,2002,26.69,23.57,29.91,20.35,17.65,23.52
01033,Alabama,Colbert County,Both,2002,28.44,24.99,31.92,22.83,19.64,26.15
01035,Alabama,Conecuh County,Both,2002,26.48,23.14,29.84,21.32,18.24,24.71
01037,Alabama,Coosa County,Both,2002,29.86,26.15,33.65,23.27,20.1,26.67
01039,Alabama,Covington County,Both,2002,28.68,25.41,32.29,23.66,20.45,27.04
01041,Alabama,Crenshaw County,Both,2002,28.17,24.5,32.62,22.76,19.53,26.82
01043,Alabama,Cullman County,Both,2002,31.08,27.55,34.82,24.92,21.59,28.73
01045,Alabama,Dale County,Both,2002,27.14,23.96,30.92,20.91,18.37,24.04
01047,Alabama,Dallas County,Both,2002,27.48,24.3,31.38,20.6,17.8,23.97
01049,Alabama,DeKalb County,Both,2002,29.35,26,33.21,24.57,21.28,28.41
01051,Alabama,Elmore County,Both,2002,27.42,24.26,30.76,22.09,19.08,25.34
01053,Alabama,Escambia County,Both,2002,30.35,26.79,34.11,24.38,21.22,27.88
01055,Alabama,Etowah County,Both,2002,30.12,26.99,33.44,24.2,21.32,27.45
01057,Alabama,Fayette County,Both,2002,29.68,25.89,33.69,24.44,20.9,28.32
01059,Alabama,Franklin County,Both,2002,30.55,26.97,34.72,24.36,20.98,28.3
01061,Alabama,Geneva County,Both,2002,29.99,26.41,33.64,24.38,21.01,28.13
