fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
01001,Alabama,Autauga County,Both,1996,26.86,22.71,31.42,22.66,19.12,26.96
01003,Alabama,Baldwin County,Both,1996,25.73,21.96,29.62,21.25,17.85,24.98
01005,Alabama,Barbour County,Both,1996,28.89,23.95,33.45,23.77,19.39,28.04
01007,Alabama,Bibb County,Both,1996,29.94,25.55,34.84,25.37,21.28,29.92
01009,Alabama,Blount County,Both,1996,29.26,24.94,34.2,24.63,20.67,29.13
01011,Alabama,Bullock County,Both,1996,27.88,23.26,32.98,22.39,18.47,26.98
01013,Alabama,Butler County,Both,1996,27.29,23.14,31.79,22.77,18.86,27.03
01015,Alabama,Calhoun County,Both,1996,28.39,24.42,32.81,24.44,20.94,28.84
01017,Alabama,Chambers County,Both,1996,28.43,24.18,33.16,24.01,19.98,28.46
01019,Alabama,Cherokee County,Both,1996,29.91,25.01,35.05,26.33,22.01,31.3
01021,Alabama,Chilton County,Both,1996,29.45,25.17,34.12,25.24,21.04,29.89
01023,Alabama,Choctaw County,Both,1996,26.16,21.91,31.2,21.45,17.61,25.65
01025,Alabama,Clarke County,Both,1996,26.02,21.94,30.96,21.43,17.78,25.92
01027,Alabama,Clay County,Both,1996,28.63,23.97,33.59,24.68,20.51,29.31
01029,Alabama,Cleburne County,Both,1996,29.7,24.81,35.37,26.16,21.4,32
01031,Alabama,Coffee County,Both,1996,25.39,21.2,29.65,21.18,17.5,25.14
01033,Alabama,Colbert County,Both,1996,27.58,23.57,32.1,23.16,19.3,27.23
01035,Alabama,Conecuh County,Both,1996,27.23,22.86,32.12,22.63,18.96,27.33
01037,Alabama,Coosa County,Both,1996,28.19,23.55,32.75,23.29,18.95,27.53
01039,Alabama,Covington County,Both,1996,27.67,23.45,32.54,24.3,20.01,28.88
01041,Alabama,Crenshaw County,Both,1996,27.9,23.41,32.97,24,20.01,28.67
01043,Alabama,Cullman County,Both,1996,28.97,24.94,33.64,25.09,21.3,29.54
01045,Alabama,Dale County,Both,1996,27.67,23.46,32.4,22.64,18.95,27.04
01047,Alabama,Dallas County,Both,1996,27.05,22.9,32.31,21.05,17.38,25.68
01049,Alabama,DeKalb County,Both,1996,30.44,25.72,35.44,26.63,22.32,31.44
01051,Alabama,Elmore County,Both,1996,26.32,22.18,30.92,22.17,18.2,26.73
01053,Alabama,Escambia County,Both,1996,29.76,25.37,34.82,25.49,21.27,30.36
01055,Alabama,Etowah County,Both,1996,29.94,26,34.77,25.21,21.55,29.44
01057,Alabama,Fayette County,Both,1996,28.48,23.69,33.44,24.96,20.77,29.99
01059,Alabama,Franklin County,Both,1996,29.38,25.14,34.45,25.64,21.53,30.51
01061,Alabama,Geneva County,Both,1996,29.73,25.11,34.19,25.41,21.29,30.26
01063,Alabama,Greene County,Both,1996,24.81,20.44,29.63,18.84,15.1,22.75
01065,Alabama,Hale County,Both,1996,26.66,22.49,31.38,21.52,17.77,26.06
01067,Alabama,Henry County,Both,1996,27.27,22.52,32.31,22.5,18.8,27.08
01069,Alabama,Houston County,Both,1996,27.3,23.09,31.66,22.3,18.51,26.68
01071,Alabama,Jackson County,Both,1996,31.44,26.98,36.59,27.48,23.17,32.27
01073,Alabama,Jefferson County,Both,1996,25.84,23.32,28.56,20.41,18.07,23.07
01075,Alabama,Lamar County,Both,1996,28.46,23.75,33.45,24.52,20.34,29.1
01077,Alabama,Lauderdale County,Both,1996,26.3,22.09,30.62,22.3,18.28,26.43
01079,Alabama,Lawrence County,Both,1996,29.63,24.98,34.97,25.39,21.22,30.38
01081,Alabama,Lee County,Both,1996,23.21,19.43,27.01,18.62,15.57,22.22
01083,Alabama,Limestone County,Both,1996,28.29,24.25,32.81,24.15,20.24,28.25
01085,Alabama,Lowndes County,Both,1996,25.69,21.4,30.24,19.96,16.36,24.08
01087,Alabama,Macon County,Both,1996,22.94,19.09,27.29,17.48,14.29,21.33
01089,Alabama,Madison County,Both,1996,22.23,19,25.19,17.59,14.84,20.22
01091,Alabama,Marengo County,Both,1996,26.22,21.84,30.77,21.35,17.56,25.16
01093,Alabama,Marion County,Both,1996,30.27,25.88,35.62,26.88,22.48,31.86
01095,Alabama,Marshall County,Both,1996,30.73,26.66,35.82,25.71,21.79,30.37
01097,Alabama,Mobile County,Both,1996,25.94,22.68,29.51,22.16,19.32,25.51
01099,Alabama,Monroe County,Both,1996,27.22,22.77,32.33,22.31,18.47,27.04
01101,Alabama,Montgomery County,Both,1996,22.96,19.78,26.31,18.75,15.99,22.2
01103,Alabama,Morgan County,Both,1996,29.5,25.18,34.27,25.15,21.08,29.39
01105,Alabama,Perry County,Both,1996,26.12,21.82,31.19,20.72,16.86,25.08
01107,Alabama,Pickens County,Both,1996,25.86,21.48,30.29,21.36,17.79,25.78
01109,Alabama,Pike County,Both,1996,25.24,20.98,29.51,20.76,16.78,24.51
01111,Alabama,Randolph County,Both,1996,28.88,24.44,33.82,24.47,20.47,29.13
01113,Alabama,Russell County,Both,1996,29.5,25,34.16,24.99,20.91,29.65
01115,Alabama,St. Clair County,Both,1996,29.59,25.1,34.54,24.93,20.85,29.46
01117,Alabama,Shelby County,Both,1996,22.16,18.8,25.97,17.3,14.28,20.73
01119,Alabama,Sumter County,Both,1996,24.55,20.37,29.69,19.52,16.08,23.78
01121,Alabama,Talladega County,Both,1996,29.26,25.09,33.67,24.85,20.71,29.43
01123,Alabama,Tallapoosa County,Both,1996,27.25,22.87,31.63,22.61,18.71,26.68
01125,Alabama,Tuscaloosa County,Both,1996,23.72,20.52,27.71,19.62,16.57,23.11
01127,Alabama,Walker County,Both,1996,29.76,25.38,34.18,26,22.13,30.89
01129,Alabama,Washington County,Both,1996,27.4,22.63,32.36,22.5,18.35,27.01
01131,Alabama,Wilcox County,Both,1996,25.63,21.28,30.37,20.07,16.16,24.22
01133,Alabama,Winston County,Both,1996,30.1,25.02,35.02,26.84,22.14,31.35
,Alaska,,Both,1996,26.35,24.9,27.81,21.12,19.8,22.48
02013,Alaska,Aleutians East Borough,Both,1996,32.18,27.09,38.01,25.35,20.8,30.5
02016,Alaska,Aleutians West Census Area,Both,1996,31.45,26.86,36.88,25.23,21.12,30.34
02020,Alaska,Anchorage Municipality,Both,1996,24.52,21.77,27.48,19.71,17.37,22.29
02050,Alaska,Bethel Census Area,Both,1996,31.83,26.91,36.54,23.88,19.79,28.23
02060,Alaska,Bristol Bay Borough,Both,1996,27.71,22.78,32.82,21.5,17.39,25.88
,Alaska,Denali Borough/Yukon-Koyukuk Census Area,Both,1996,32.91,28.28,37.52,24.93,20.82,29.52
02070,Alaska,Dillingham Census Area,Both,1996,30.72,25.76,35.86,23.11,19.04,28.1
02090,Alaska,Fairbanks North Star Borough,Both,1996,25.2,22.42,28.51,21.33,18.55,24.39
02100,Alaska,Haines Borough,Both,1996,23.83,19.71,28.5,17.9,14.38,21.79
02110,Alaska,Juneau City and Borough,Both,1996,22.07,18.95,25.34,16.42,13.96,19.2
02122,Alaska,Kenai Peninsula Borough,Both,1996,27.76,24.51,30.9,22.64,19.93,25.38
02150,Alaska,Kodiak Island Borough,Both,1996,27.83,23.97,32.23,22,18.45,25.97
02164,Alaska,Lake and Peninsula Borough,Both,1996,33.41,28.09,39.8,25.36,20.72,31
02170,Alaska,Matanuska-Susitna Borough,Both,1996,26.85,23.05,30.97,21.84,18.3,25.94
02180,Alaska,Nome Census Area,Both,1996,38,33.05,43.56,28.95,24.37,34.26
02185,Alaska,North Slope Borough,Both,1996,38.91,33.23,44.65,29.56,24.8,35.01
02188,Alaska,Northwest Arctic Borough,Both,1996,39.59,33.65,45.93,30.04,24.59,35.78
02220,Alaska,Sitka City and Borough,Both,1996,25.2,21.01,29.68,19.57,16.07,23.5
,Alaska,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,Both,1996,27.72,23.19,32.65,20.83,16.97,25.32
02240,Alaska,Southeast Fairbanks Census Area,Both,1996,27.75,23.26,32.54,22.8,18.79,27.7
02261,Alaska,Valdez-Cordova Census Area,Both,1996,26.36,22.52,30.59,21.11,17.73,24.57
02158,Alaska,Wade Hampton Census Area,Both,1996,35.83,30.42,41.7,26.11,21.3,31.71
,Alaska,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,Both,1996,29.61,25.85,33.54,23.67,20.34,27.11
,Arizona,,Both,1996,23.57,22.15,25.13,20.55,19.29,21.99
04001,Arizona,Apache County,Both,1996,27.88,23.33,33.05,21.2,17.2,25.53
04003,Arizona,Cochise County,Both,1996,22.14,18.88,26.05,18.52,15.66,21.66
04005,Arizona,Coconino County,Both,1996,22.09,19.08,25.54,17.94,15.42,20.93
04007,Arizona,Gila County,Both,1996,26.54,22.42,31.13,23.37,19.52,27.94
04009,Arizona,Graham County,Both,1996,24.69,20.76,29.31,20.78,17.09,25.14
04011,Arizona,Greenlee County,Both,1996,22.92,19.03,27.55,17.61,14.23,21.88
04012,Arizona,La Paz County,Both,1996,27.25,23.15,31.94,23.65,19.83,28.33
04013,Arizona,Maricopa County,Both,1996,23.09,20.93,25.33,20.33,18.41,22.49
04015,Arizona,Mohave County,Both,1996,32.3,28.03,35.98,29.62,25.99,33.39
04017,Arizona,Navajo County,Both,1996,28.18,24.11,32.42,23.15,19.48,26.91
04019,Arizona,Pima County,Both,1996,22.27,19.98,24.86,19.19,17.01,21.69
04021,Arizona,Pinal County,Both,1996,27.26,23.19,31.28,24.36,20.65,28.05
04023,Arizona,Santa Cruz County,Both,1996,20.39,16.49,24.86,14.94,11.8,18.12
04025,Arizona,Yavapai County,Both,1996,25.88,22.52,29.37,23.71,20.34,27.35
04027,Arizona,Yuma County,Both,1996,23.2,19.45,27.88,19.13,15.85,22.81
,Arkansas,,Both,1996,28.57,27.81,29.39,24.8,24.08,25.66
05001,Arkansas,Arkansas County,Both,1996,29.56,24.99,34.17,25.28,21.14,29.57
05003,Arkansas,Ashley County,Both,1996,29.19,25,33.94,24.93,20.85,29.36
05005,Arkansas,Baxter County,Both,1996,31.9,27.14,36.55,28.79,24.02,33.52
05007,Arkansas,Benton County,Both,1996,28.17,24.34,32.09,24.51,20.88,27.93
05009,Arkansas,Boone County,Both,1996,29.34,25.06,33.88,25.41,21.21,29.94
05011,Arkansas,Bradley County,Both,1996,29.17,24.72,34.13,24.38,20.45,29.1
05013,Arkansas,Calhoun County,Both,1996,29.58,24.96,34.46,25.12,20.95,29.89
05015,Arkansas,Carroll County,Both,1996,30.03,25.57,34.51,26.07,21.94,30.49
05017,Arkansas,Chicot County,Both,1996,27.94,23.95,32.59,23.44,19.64,27.85
05019,Arkansas,Clark County,Both,1996,24.46,20.46,28.77,20.38,16.79,24.21
05021,Arkansas,Clay County,Both,1996,32.87,28.03,37.97,30.29,25.6,35.52
05023,Arkansas,Cleburne County,Both,1996,28.01,23.93,32.49,24.74,20.96,29.05
05025,Arkansas,Cleveland County,Both,1996,28.48,24.08,33.42,24.76,20.47,29.66
05027,Arkansas,Columbia County,Both,1996,26.74,22.53,31.36,21.87,18.27,26
05029,Arkansas,Conway County,Both,1996,28.73,24.23,33.62,24.29,20.17,28.84
05031,Arkansas,Craighead County,Both,1996,28.37,24.59,32.58,24.62,21.19,28.45
05033,Arkansas,Crawford County,Both,1996,31.03,26.51,35.66,27.87,23.57,32.4
05035,Arkansas,Crittenden County,Both,1996,29.91,25.57,34.39,26.27,22.22,30.75
05037,Arkansas,Cross County,Both,1996,30.27,25.86,35.36,27.03,23,31.98
05039,Arkansas,Dallas County,Both,1996,29.02,24.52,34.04,24.44,20.11,29.21
05041,Arkansas,Desha County,Both,1996,28.82,24.17,33.37,24.07,20.11,28.85
05043,Arkansas,Drew County,Both,1996,26.51,22.56,31.15,22.28,18.53,26.54
05045,Arkansas,Faulkner County,Both,1996,23.91,20.09,27.92,20.15,16.96,23.9
05047,Arkansas,Franklin County,Both,1996,30.06,24.71,35.16,26.22,21.74,31.14
05049,Arkansas,Fulton County,Both,1996,29.97,25.12,35.26,26.98,21.81,32.09
05051,Arkansas,Garland County,Both,1996,29.45,25.66,33.49,25.79,22.18,29.69
05053,Arkansas,Grant County,Both,1996,30.43,25.57,35.27,27.31,22.93,31.99
05055,Arkansas,Greene County,Both,1996,31.86,27.37,37.44,28.6,24.17,33.89
05057,Arkansas,Hempstead County,Both,1996,28.8,24.36,33.7,24.52,20.5,29.27
05059,Arkansas,Hot Spring County,Both,1996,29.26,24.99,34.08,25.57,21.67,30.21
05061,Arkansas,Howard County,Both,1996,29.22,24.64,34.28,25.08,21.03,29.73
05063,Arkansas,Independence County,Both,1996,29.06,24.48,33.91,26.33,22.04,31.31
05065,Arkansas,Izard County,Both,1996,29.41,24.93,34.25,26.26,21.71,30.75
05067,Arkansas,Jackson County,Both,1996,31.15,26.47,36.7,27.94,23.58,33.24
05069,Arkansas,Jefferson County,Both,1996,27.63,23.83,31.66,24.06,20.4,28.31
05071,Arkansas,Johnson County,Both,1996,30.53,25.95,35.54,26.52,22.17,31.24
05073,Arkansas,Lafayette County,Both,1996,28.38,24.11,33.11,23.69,19.99,28.28
05075,Arkansas,Lawrence County,Both,1996,31.91,27.15,37.22,29.44,24.9,34.4
05077,Arkansas,Lee County,Both,1996,29.34,24.44,34.62,24.99,20.51,29.96
