fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
45001,South Carolina,Abbeville County,Both,2004,27.6,24.99,30.72,21.89,19.3,24.79
22001,Louisiana,Acadia Parish,Both,2004,29.76,27.22,32.63,23.56,21.01,26.59
51001,Virginia,Accomack County,Both,2004,26.74,24.13,29.33,20.83,18.58,23.12
16001,Idaho,Ada County,Both,2004,19.82,18.59,21.04,14.98,13.88,16.17
19001,Iowa,Adair County,Both,2004,25.67,22.63,28.82,21.05,18.18,24
21001,Kentucky,Adair County,Both,2004,34.02,30.67,37.33,28.89,25.83,32
29001,Missouri,Adair County,Both,2004,23.42,21.08,26.11,18.59,16.39,21.09
40001,Oklahoma,Adair County,Both,2004,35.01,32.31,37.78,26.64,24.05,29.27
16003,Idaho,Adams County,Both,2004,23.99,21.28,27.02,18.27,16.05,20.8
17001,Illinois,Adams County,Both,2004,25.8,22.96,28.72,20.65,17.99,23.6
18001,Indiana,Adams County,Both,2004,28.3,25.3,31.39,22.68,20.03,25.8
19003,Iowa,Adams County,Both,2004,26.98,23.89,30.12,21.87,19.04,24.89
28001,Mississippi,Adams County,Both,2004,28.04,25.24,30.96,20.9,18.35,23.58
31001,Nebraska,Adams County,Both,2004,24.37,22.06,26.66,19.31,17.28,21.64
38001,North Dakota,Adams County,Both,2004,23.63,20.73,26.73,18.5,15.96,21.29
39001,Ohio,Adams County,Both,2004,32.81,29.26,36.65,26.48,23.04,30.24
42001,Pennsylvania,Adams County,Both,2004,25.17,22.71,27.86,19.17,16.87,21.5
53001,Washington,Adams County,Both,2004,18.39,16.65,20.35,13.5,11.88,15.25
55001,Wisconsin,Adams County,Both,2004,27.97,24.89,31.05,22.34,19.42,25.26
,Colorado,Adams County/Boulder County/Broomfield County/Jefferson County/Weld County,Both,2004,20.91,19.99,21.86,15.17,14.33,16.09
50001,Vermont,Addison County,Both,2004,21.37,19.84,22.85,16.43,15.01,17.9
45003,South Carolina,Aiken County,Both,2004,27.1,25.38,28.94,20.74,19.03,22.59
27001,Minnesota,Aitkin County,Both,2004,27.97,24.99,31.15,22.49,19.6,25.4
12001,Florida,Alachua County,Both,2004,20.17,18.23,22.34,14.28,12.6,16.06
37001,North Carolina,Alamance County,Both,2004,27.81,25.89,29.84,21.73,19.95,23.7
06001,California,Alameda County,Both,2004,17.15,15.32,19.08,12.12,10.66,13.79
08003,Colorado,Alamosa County,Both,2004,20.86,18.46,23.39,14.1,11.97,16.3
36001,New York,Albany County,Both,2004,22.24,20.14,24.4,16.67,14.93,18.65
56001,Wyoming,Albany County,Both,2004,16.53,14.99,18.13,11.75,10.38,13.22
51003,Virginia,Albemarle County,Both,2004,17.54,15.6,19.7,12.21,10.48,14.1
26001,Michigan,Alcona County,Both,2004,29.9,26.63,33.26,23.64,20.78,26.89
28003,Mississippi,Alcorn County,Both,2004,28.82,26.2,31.54,22.88,20.25,25.62
02013,Alaska,Aleutians East Borough,Both,2004,35.87,32.11,39.86,24.46,21.15,28.09
02016,Alaska,Aleutians West Census Area,Both,2004,35.24,31.77,38.9,26.27,23.25,29.83
17003,Illinois,Alexander County,Both,2004,29.85,26.59,33.51,23.4,20.47,26.68
37003,North Carolina,Alexander County,Both,2004,28.05,24.93,31.27,23.51,20.61,26.65
51510,Virginia,Alexandria City,Both,2004,18.67,16.86,20.6,12.03,10.6,13.78
40003,Oklahoma,Alfalfa County,Both,2004,27.38,24.42,30.62,21.91,19.1,24.95
26003,Michigan,Alger County,Both,2004,27.54,24.64,30.81,21.33,18.75,24.38
19005,Iowa,Allamakee County,Both,2004,26.71,23.87,29.84,20.73,18.1,23.59
26005,Michigan,Allegan County,Both,2004,26.82,24.36,29.48,20.96,18.65,23.52
24001,Maryland,Allegany County,Both,2004,27.38,25.34,30.18,22.1,19.78,24.78
36003,New York,Allegany County,Both,2004,25.4,22.47,28.32,20.3,17.53,23.11
37005,North Carolina,Alleghany County,Both,2004,29.11,26.21,32.28,23.67,20.87,26.69
51005,Virginia,Alleghany County,Both,2004,27.18,24.21,30.35,22.93,20.12,26.12
42003,Pennsylvania,Allegheny County,Both,2004,26.07,24.71,27.55,19.53,18.21,21
18003,Indiana,Allen County,Both,2004,26.99,25.28,28.94,20.53,18.83,22.32
20001,Kansas,Allen County,Both,2004,27.16,24.05,30.31,21.39,18.65,24.45
21003,Kentucky,Allen County,Both,2004,35.28,31.85,38.56,30.6,27.2,33.95
39003,Ohio,Allen County,Both,2004,27.77,24.81,30.8,22.17,19.52,25.22
22003,Louisiana,Allen Parish,Both,2004,31.98,28.94,35.1,25.15,22.27,28.17
45005,South Carolina,Allendale County,Both,2004,29.2,26.09,32.7,21.94,19.1,25.33
26007,Michigan,Alpena County,Both,2004,28.45,25.48,31.57,22.67,19.84,25.71
06003,California,Alpine County,Both,2004,23.68,20.58,27.3,16.03,13.62,18.9
06005,California,Amador County,Both,2004,24.38,21.68,27.7,18.2,15.67,21.35
51007,Virginia,Amelia County,Both,2004,31.28,27.86,34.74,25.58,22.4,28.85
51009,Virginia,Amherst County,Both,2004,27.42,24.48,30.77,22.26,19.38,25.41
28005,Mississippi,Amite County,Both,2004,28.55,25.62,31.56,21.92,19.31,24.85
02020,Alaska,Anchorage Municipality,Both,2004,23.2,21.96,24.45,16.96,15.79,18.23
20003,Kansas,Anderson County,Both,2004,28.03,24.91,31.28,22.83,19.82,25.99
21005,Kentucky,Anderson County,Both,2004,31.14,27.98,34.58,26.6,23.5,30.01
45007,South Carolina,Anderson County,Both,2004,28.01,26.19,29.89,22.79,20.96,24.7
47001,Tennessee,Anderson County,Both,2004,27.92,25.08,30.77,22.11,19.56,24.9
48001,Texas,Anderson County,Both,2004,29.53,26.72,32.42,22.19,19.65,24.8
29003,Missouri,Andrew County,Both,2004,25.59,22.93,28.59,20.71,18.15,23.59
48003,Texas,Andrews County,Both,2004,27.04,24.07,30.62,20.63,17.97,23.62
23001,Maine,Androscoggin County,Both,2004,26.78,24.6,28.83,21.94,19.88,24.23
48005,Texas,Angelina County,Both,2004,28.46,25.47,31.59,21.68,19.2,24.44
24003,Maryland,Anne Arundel County,Both,2004,22.41,20.92,24.09,17,15.66,18.56
27003,Minnesota,Anoka County,Both,2004,24.72,22.79,26.62,19.05,17.26,20.94
37007,North Carolina,Anson County,Both,2004,29.18,26.24,32.02,22.41,19.75,25.37
31003,Nebraska,Antelope County,Both,2004,23.55,20.92,26.52,18.45,16.11,21.09
26009,Michigan,Antrim County,Both,2004,25.87,23.09,28.86,19.54,17.13,22.2
04001,Arizona,Apache County,Both,2004,28.7,25.96,31.61,18.59,16.22,21.12
19007,Iowa,Appanoose County,Both,2004,28.34,25.34,31.51,23.05,20.4,26.04
13001,Georgia,Appling County,Both,2004,27.34,24.51,30.49,21.88,19.25,24.83
51011,Virginia,Appomattox County,Both,2004,28.24,25.17,31.77,22.9,19.97,26.1
48007,Texas,Aransas County,Both,2004,25.61,22.37,28.77,19.38,16.46,22.42
08005,Colorado,Arapahoe County,Both,2004,20.38,19.06,21.76,14.86,13.7,16.08
48009,Texas,Archer County,Both,2004,24.09,21.22,27.1,18.84,16.26,21.55
08007,Colorado,Archuleta County,Both,2004,22.15,19.75,25,15.92,13.84,18.41
26011,Michigan,Arenac County,Both,2004,29.1,25.85,32.25,23.58,20.56,26.61
05001,Arkansas,Arkansas County,Both,2004,27.61,24.8,30.38,22.88,20.21,25.75
51013,Virginia,Arlington County,Both,2004,15.27,13.54,17.18,9.76,8.36,11.19
42005,Pennsylvania,Armstrong County,Both,2004,27.91,26.08,29.92,22.57,20.67,24.43
48011,Texas,Armstrong County,Both,2004,20.69,18.11,23.7,15.95,13.7,18.45
23003,Maine,Aroostook County,Both,2004,27.77,25.61,30.03,22.89,20.6,25.16
31005,Nebraska,Arthur County,Both,2004,23.27,20.28,26.39,18.14,15.61,21.11
