fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2007,22.3,22.09,22.55,16.32,16.17,16.52
,Alabama,,Both,2007,25.83,25.26,26.47,19.6,19.16,20.17
01001,Alabama,Autauga County,Both,2007,25.55,22.51,28.65,19.6,17.34,22.29
01003,Alabama,Baldwin County,Both,2007,24.2,21.89,26.94,19.01,16.92,21.29
01005,Alabama,Barbour County,Both,2007,27.81,24.67,31.3,20.49,18.01,23.27
01007,Alabama,Bibb County,Both,2007,29,25.35,32.76,22.67,19.77,25.96
01009,Alabama,Blount County,Both,2007,29.02,25.81,32.37,23.05,20.07,26.35
01011,Alabama,Bullock County,Both,2007,28.06,24.49,31.74,19.95,17.19,23.17
01013,Alabama,Butler County,Both,2007,28.1,24.64,31.26,21.6,18.8,24.37
01015,Alabama,Calhoun County,Both,2007,27.62,24.89,30.36,21.36,18.99,23.63
01017,Alabama,Chambers County,Both,2007,29.39,25.99,33.04,22.39,19.71,25.32
01019,Alabama,Cherokee County,Both,2007,27.41,24.32,31.26,22.21,19.42,25.41
01021,Alabama,Chilton County,Both,2007,28.49,25.37,32.27,22.9,20.28,26.12
01023,Alabama,Choctaw County,Both,2007,24.53,21.5,28.03,18.35,15.96,21.15
01025,Alabama,Clarke County,Both,2007,26.01,23.02,29.33,19.59,17,22.38
01027,Alabama,Clay County,Both,2007,28.26,24.7,32.05,21.93,18.74,25.22
01029,Alabama,Cleburne County,Both,2007,29.72,26.1,33.52,23.97,20.76,27.31
01031,Alabama,Coffee County,Both,2007,24.64,21.92,27.75,19.12,16.65,21.76
01033,Alabama,Colbert County,Both,2007,27.52,24.54,30.47,21.94,19.55,24.46
01035,Alabama,Conecuh County,Both,2007,28.32,24.8,31.88,21.93,19.08,24.93
01037,Alabama,Coosa County,Both,2007,30.14,26.51,34.26,23.42,20.33,26.93
01039,Alabama,Covington County,Both,2007,31.27,27.71,34.98,24.77,21.75,28.05
01041,Alabama,Crenshaw County,Both,2007,28.11,24.74,31.96,22.24,19.39,25.72
01043,Alabama,Cullman County,Both,2007,29.38,25.82,32.84,24.16,21.4,27.24
01045,Alabama,Dale County,Both,2007,24.62,21.7,27.99,19.28,16.85,22.04
01047,Alabama,Dallas County,Both,2007,26.31,23.36,29.34,19.26,16.97,21.81
01049,Alabama,DeKalb County,Both,2007,27.24,23.9,30.63,21.59,18.81,24.45
01051,Alabama,Elmore County,Both,2007,27.79,24.62,31.15,21.33,18.74,24.17
